Year,Month,Week,Country,Region,Student_Count,Gender,Degree_Type,Course,Interest_Area
2022,December,52,USA,Europe,88,Female,Postgraduate,Medicine,Entrepreneurship
2023,May,22,Canada,North America,105,Other,PhD,Arts,Research
2022,September,39,India,Europe,303,Male,Postgraduate,Arts,Research
2022,January,05,Canada,North America,335,Female,Postgraduate,Engineering,Entrepreneurship
2021,March,11,Canada,Oceania,471,Male,Postgraduate,Science,Employment
2021,October,40,Canada,Europe,129,Female,PhD,Science,Employment
2022,March,10,Canada,Europe,191,Other,Postgraduate,Science,Entrepreneurship
2023,October,41,Canada,North America,498,Male,PhD,Business,Employment
2023,November,46,India,Europe,125,Female,Postgraduate,Science,Research
2022,May,18,Australia,Oceania,424,Female,Postgraduate,Medicine,Entrepreneurship
2023,September,37,Australia,Asia,415,Female,Undergraduate,Medicine,Research
2023,August,33,India,Asia,465,Female,Postgraduate,Medicine,Employment
2021,March,13,UK,Oceania,299,Male,Postgraduate,Business,Entrepreneurship
2021,February,08,USA,North America,352,Male,Undergraduate,Engineering,Entrepreneurship
2023,April,14,Australia,Asia,56,Other,Undergraduate,Business,Employment
2022,August,32,Canada,North America,132,Female,Postgraduate,Medicine,Employment
2023,January,02,USA,North America,336,Female,Postgraduate,Engineering,Employment
2021,July,26,Australia,Europe,51,Female,PhD,Arts,Entrepreneurship
2022,November,44,USA,North America,298,Female,PhD,Science,Employment
2022,November,48,USA,Asia,171,Female,Undergraduate,Engineering,Employment
2021,January,03,UK,Europe,356,Male,PhD,Science,Employment
2023,October,40,UK,Oceania,125,Other,Postgraduate,Arts,Research
2023,June,22,USA,Oceania,68,Female,Postgraduate,Medicine,Entrepreneurship
2022,January,04,Australia,Asia,229,Male,Postgraduate,Business,Entrepreneurship
2022,April,17,USA,North America,206,Other,Undergraduate,Science,Employment
2022,August,31,India,North America,290,Other,PhD,Engineering,Employment
2023,November,45,India,Oceania,472,Male,Undergraduate,Medicine,Entrepreneurship
2022,April,15,Australia,Oceania,64,Male,Undergraduate,Science,Entrepreneurship
2021,October,44,USA,Asia,72,Female,Postgraduate,Medicine,Entrepreneurship
2021,September,36,Australia,Europe,127,Other,Undergraduate,Engineering,Entrepreneurship
2022,May,22,India,Europe,258,Male,PhD,Arts,Entrepreneurship
2022,August,33,India,Asia,329,Male,PhD,Business,Entrepreneurship
2023,January,01,Canada,Asia,191,Male,Undergraduate,Business,Employment
2022,September,38,Australia,Europe,241,Other,PhD,Arts,Research
2022,September,37,Canada,Asia,296,Male,Undergraduate,Arts,Entrepreneurship
2022,July,30,Australia,Oceania,279,Female,Undergraduate,Medicine,Entrepreneurship
2021,September,36,Australia,North America,170,Other,Undergraduate,Engineering,Entrepreneurship
2023,December,49,Canada,North America,56,Other,Undergraduate,Medicine,Entrepreneurship
2022,December,51,USA,Asia,165,Male,Undergraduate,Arts,Employment
2023,September,39,Canada,Oceania,373,Female,Undergraduate,Science,Entrepreneurship
2022,June,26,USA,North America,336,Other,PhD,Medicine,Research
2023,August,33,USA,Oceania,444,Male,PhD,Business,Employment
2021,January,01,India,Oceania,171,Male,Postgraduate,Business,Entrepreneurship
2022,April,16,Canada,Europe,220,Female,Postgraduate,Medicine,Research
2022,August,32,India,North America,410,Other,PhD,Engineering,Employment
2023,February,06,Australia,Asia,436,Male,PhD,Science,Employment
2021,January,00,USA,Oceania,302,Female,Undergraduate,Medicine,Entrepreneurship
2022,June,23,Australia,North America,280,Other,Undergraduate,Medicine,Research
2021,July,30,UK,Asia,130,Female,Undergraduate,Science,Entrepreneurship
2023,November,48,UK,Asia,450,Other,Undergraduate,Arts,Research
2022,November,47,Canada,Asia,269,Female,Undergraduate,Engineering,Research
2021,July,29,India,Oceania,256,Female,PhD,Engineering,Employment
2022,June,24,India,Europe,374,Other,Undergraduate,Engineering,Research
2022,May,20,India,Asia,322,Male,Postgraduate,Arts,Research
2023,July,28,Canada,Asia,410,Other,Postgraduate,Arts,Entrepreneurship
2021,July,29,Canada,North America,317,Other,Postgraduate,Engineering,Employment
2021,September,35,UK,Europe,121,Other,Postgraduate,Business,Research
2023,January,01,UK,Asia,97,Female,Undergraduate,Engineering,Entrepreneurship
2022,July,29,USA,North America,370,Other,PhD,Business,Employment
2022,April,15,Australia,Europe,384,Female,Undergraduate,Medicine,Entrepreneurship
2023,June,23,Canada,North America,275,Other,Postgraduate,Medicine,Entrepreneurship
2023,July,28,Australia,Europe,223,Male,Postgraduate,Medicine,Entrepreneurship
2022,August,34,Canada,Asia,113,Female,PhD,Engineering,Employment
2023,October,42,USA,Oceania,307,Female,PhD,Arts,Entrepreneurship
2021,December,51,Canada,Oceania,109,Other,PhD,Science,Entrepreneurship
2022,January,04,Australia,Europe,487,Female,Postgraduate,Engineering,Research
2021,May,18,India,Oceania,126,Female,Postgraduate,Engineering,Research
2023,November,47,UK,Oceania,362,Other,PhD,Arts,Entrepreneurship
2023,November,48,Canada,Europe,174,Female,Undergraduate,Arts,Employment
2021,December,49,USA,Europe,335,Male,PhD,Arts,Research
2021,September,37,India,Oceania,366,Male,PhD,Arts,Research
2021,July,27,USA,Oceania,480,Female,Undergraduate,Medicine,Employment
2021,August,32,Canada,North America,219,Female,Postgraduate,Science,Research
2022,May,19,USA,Asia,299,Female,Postgraduate,Engineering,Employment
2022,October,41,Canada,Oceania,286,Female,Postgraduate,Engineering,Research
2023,April,14,USA,Asia,81,Female,Undergraduate,Medicine,Employment
2022,November,48,India,Asia,168,Other,PhD,Science,Entrepreneurship
2021,August,31,Canada,North America,94,Male,Undergraduate,Business,Research
2022,June,24,UK,Oceania,324,Other,PhD,Business,Research
2022,December,51,Australia,North America,276,Other,Undergraduate,Engineering,Research
2021,July,26,UK,Asia,85,Other,Postgraduate,Arts,Entrepreneurship
2022,April,14,India,Europe,161,Male,Undergraduate,Business,Employment
2022,October,40,USA,North America,248,Male,Undergraduate,Arts,Employment
2023,November,45,India,Europe,223,Male,PhD,Business,Research
2023,November,46,India,Asia,440,Female,PhD,Arts,Employment
2023,January,03,Canada,Europe,442,Female,Undergraduate,Science,Entrepreneurship
2021,November,47,India,North America,175,Female,PhD,Engineering,Employment
2023,February,06,USA,North America,144,Other,Undergraduate,Arts,Entrepreneurship
2023,January,01,Canada,Asia,54,Male,Postgraduate,Medicine,Research
2023,August,34,USA,Europe,207,Male,Postgraduate,Engineering,Research
2021,May,21,Australia,Oceania,497,Male,PhD,Science,Entrepreneurship
2021,October,40,Australia,Asia,126,Male,Undergraduate,Arts,Employment
2022,May,21,Canada,North America,461,Female,Postgraduate,Science,Research
2022,October,42,Canada,Europe,275,Female,Postgraduate,Business,Research
2023,February,08,Australia,Europe,122,Other,Postgraduate,Medicine,Research
2021,September,35,USA,Asia,86,Female,PhD,Science,Research
2023,July,31,India,Europe,422,Female,Postgraduate,Business,Research
2023,February,06,Australia,Europe,208,Other,PhD,Arts,Entrepreneurship
2023,March,12,Canada,Asia,255,Male,Undergraduate,Arts,Entrepreneurship
2022,December,48,USA,Asia,335,Other,Undergraduate,Science,Employment
2022,November,48,Canada,Europe,409,Female,PhD,Arts,Employment
2021,September,39,USA,Asia,215,Female,Postgraduate,Business,Employment
2021,September,39,India,Oceania,324,Male,Undergraduate,Medicine,Entrepreneurship
2022,June,23,USA,North America,369,Female,PhD,Arts,Research
2023,October,41,India,North America,405,Female,Postgraduate,Business,Research
2022,March,13,Australia,Europe,288,Male,Undergraduate,Business,Research
2021,March,09,UK,Oceania,288,Other,Postgraduate,Business,Entrepreneurship
2023,September,38,Canada,North America,168,Female,Postgraduate,Medicine,Entrepreneurship
2022,May,20,Australia,Europe,357,Female,Undergraduate,Arts,Employment
2021,October,42,USA,Asia,310,Female,Undergraduate,Arts,Employment
2021,June,23,Australia,Asia,69,Female,Undergraduate,Engineering,Research
2022,April,14,Canada,North America,125,Other,Undergraduate,Business,Employment
2022,January,03,Australia,Europe,117,Other,Postgraduate,Medicine,Research
2021,February,05,UK,Europe,356,Male,PhD,Engineering,Research
2022,January,04,UK,Europe,436,Other,Postgraduate,Science,Employment
2021,February,09,Australia,Oceania,442,Male,Undergraduate,Arts,Research
2023,May,20,USA,Europe,116,Other,Postgraduate,Arts,Research
2022,April,15,USA,North America,118,Other,PhD,Medicine,Entrepreneurship
2023,October,41,Canada,North America,234,Female,Postgraduate,Science,Employment
2022,July,30,UK,North America,341,Male,PhD,Science,Research
2022,February,06,Australia,North America,445,Male,PhD,Medicine,Employment
2022,June,25,UK,Asia,149,Male,Undergraduate,Science,Entrepreneurship
2021,June,24,UK,Oceania,278,Other,Undergraduate,Science,Employment
2022,July,27,UK,Oceania,397,Female,PhD,Medicine,Research
2023,July,30,Canada,North America,254,Male,Undergraduate,Science,Entrepreneurship
2022,August,33,Australia,Oceania,162,Male,PhD,Medicine,Employment
2021,January,02,USA,Asia,457,Male,Postgraduate,Medicine,Employment
2021,November,45,Canada,Asia,76,Female,Postgraduate,Arts,Employment
2022,March,09,Australia,Europe,355,Other,Postgraduate,Engineering,Employment
2022,May,19,India,North America,264,Other,Undergraduate,Engineering,Entrepreneurship
2022,October,42,India,Oceania,116,Male,Undergraduate,Arts,Research
2022,February,08,UK,Oceania,73,Female,Undergraduate,Arts,Entrepreneurship
2023,January,03,Canada,Europe,156,Male,Undergraduate,Engineering,Entrepreneurship
2021,November,46,UK,Oceania,384,Male,Undergraduate,Medicine,Research
2021,December,51,UK,Asia,403,Other,Undergraduate,Science,Research
2021,August,31,USA,North America,360,Other,Undergraduate,Medicine,Entrepreneurship
2021,August,34,UK,North America,294,Other,Postgraduate,Medicine,Research
2022,October,40,Canada,North America,194,Male,Undergraduate,Science,Employment
2022,November,47,UK,Asia,367,Other,Undergraduate,Science,Employment
2023,January,01,India,Oceania,326,Female,Postgraduate,Engineering,Entrepreneurship
2022,January,01,India,Asia,361,Other,PhD,Arts,Entrepreneurship
2021,March,10,India,Asia,229,Male,Postgraduate,Science,Entrepreneurship
2023,December,50,UK,North America,486,Male,Postgraduate,Arts,Research
2022,June,23,Australia,North America,186,Female,PhD,Business,Entrepreneurship
2021,October,41,India,Europe,248,Male,PhD,Engineering,Employment
2021,September,37,Canada,Europe,383,Other,Undergraduate,Medicine,Employment
2022,February,05,Canada,Asia,460,Male,PhD,Engineering,Employment
2022,October,44,India,Oceania,481,Other,Postgraduate,Medicine,Entrepreneurship
2021,May,19,Australia,Oceania,287,Female,Postgraduate,Engineering,Research
2021,April,15,Australia,Europe,178,Male,Postgraduate,Arts,Entrepreneurship
2021,October,40,India,North America,335,Female,Undergraduate,Engineering,Entrepreneurship
2023,December,50,Canada,Europe,57,Male,Undergraduate,Engineering,Entrepreneurship
2023,April,15,India,Europe,228,Other,PhD,Medicine,Employment
2022,October,40,Australia,North America,286,Female,Postgraduate,Medicine,Employment
2022,February,07,Canada,Europe,363,Female,Postgraduate,Arts,Research
2021,August,31,Australia,Asia,470,Other,PhD,Business,Research
2021,May,21,Canada,North America,220,Other,Postgraduate,Medicine,Entrepreneurship
2022,September,38,Australia,Europe,304,Other,Postgraduate,Arts,Research
2023,December,50,Canada,Europe,465,Other,Undergraduate,Medicine,Research
2021,September,35,UK,Asia,185,Female,PhD,Engineering,Entrepreneurship
2021,April,17,USA,North America,330,Other,Undergraduate,Arts,Research
2021,October,43,India,North America,312,Female,PhD,Science,Entrepreneurship
2022,June,23,Canada,Asia,130,Other,Postgraduate,Arts,Employment
2022,October,41,UK,Oceania,338,Other,PhD,Arts,Employment
2023,June,24,UK,Europe,489,Male,PhD,Engineering,Employment
2021,December,52,Australia,Asia,242,Other,Undergraduate,Business,Research
2023,June,24,UK,Asia,157,Other,Postgraduate,Business,Research
2022,August,33,Canada,North America,60,Male,Undergraduate,Arts,Research
2022,February,05,USA,North America,303,Other,Postgraduate,Arts,Entrepreneurship
2022,November,46,UK,Oceania,278,Other,Postgraduate,Medicine,Employment
2022,July,27,USA,Asia,415,Other,PhD,Business,Employment
2022,December,52,UK,Oceania,466,Male,Undergraduate,Medicine,Employment
2022,October,40,Australia,Asia,485,Other,PhD,Arts,Research
2023,March,13,UK,Oceania,53,Other,Undergraduate,Science,Entrepreneurship
2023,April,17,USA,Asia,417,Female,Postgraduate,Engineering,Research
2022,April,16,Australia,North America,310,Female,Postgraduate,Arts,Research
2023,August,34,UK,Oceania,421,Female,Postgraduate,Medicine,Employment
2022,December,50,UK,Europe,221,Male,Postgraduate,Medicine,Entrepreneurship
2021,August,33,Canada,North America,454,Male,PhD,Business,Research
2022,February,05,Canada,Asia,215,Male,Postgraduate,Medicine,Employment
2022,January,01,UK,Asia,393,Female,PhD,Medicine,Research
2023,July,27,UK,Asia,325,Female,Undergraduate,Science,Research
2022,March,10,USA,North America,435,Female,Undergraduate,Science,Research
2023,January,04,Australia,North America,149,Other,Undergraduate,Engineering,Employment
2021,July,30,Australia,Oceania,299,Female,Postgraduate,Science,Employment
2022,May,20,India,Oceania,347,Male,Postgraduate,Arts,Employment
2023,April,15,Canada,Asia,271,Female,PhD,Medicine,Employment
2022,January,01,UK,Oceania,278,Male,Postgraduate,Engineering,Research
2021,February,08,India,Europe,350,Male,PhD,Engineering,Entrepreneurship
2022,February,07,USA,North America,143,Other,Undergraduate,Science,Research
2023,April,16,India,Oceania,187,Female,Postgraduate,Medicine,Research
2022,September,38,India,Europe,479,Female,Undergraduate,Arts,Employment
2021,July,29,USA,Europe,333,Male,Undergraduate,Science,Employment
2023,November,44,India,Oceania,92,Male,Postgraduate,Arts,Entrepreneurship
2023,February,09,India,Asia,66,Male,PhD,Science,Employment
2022,January,04,UK,Oceania,213,Female,Undergraduate,Science,Research
2022,August,33,Australia,Oceania,182,Other,Postgraduate,Business,Research
2022,January,03,Canada,North America,68,Female,PhD,Arts,Entrepreneurship
2021,March,11,UK,Oceania,297,Male,PhD,Science,Employment
2022,July,29,India,Oceania,147,Other,PhD,Engineering,Employment
2022,November,46,Canada,Asia,203,Female,PhD,Science,Entrepreneurship
2023,December,50,UK,Europe,418,Other,PhD,Engineering,Research
2021,September,38,UK,Europe,62,Female,PhD,Engineering,Research
2021,June,25,USA,Asia,147,Female,PhD,Engineering,Research
2022,August,34,UK,Europe,420,Other,PhD,Business,Entrepreneurship
2021,September,37,USA,Asia,127,Other,Postgraduate,Business,Entrepreneurship
2021,October,42,UK,North America,67,Male,PhD,Business,Entrepreneurship
2021,April,16,Australia,Asia,225,Female,Undergraduate,Business,Employment
2023,April,14,India,Europe,303,Female,PhD,Science,Employment
2022,September,38,Canada,Asia,314,Male,PhD,Business,Entrepreneurship
2022,March,09,India,North America,302,Male,PhD,Business,Research
2023,June,23,USA,North America,427,Female,Postgraduate,Medicine,Employment
2021,April,16,Canada,North America,197,Other,PhD,Arts,Research
2023,May,19,Canada,North America,246,Other,Postgraduate,Engineering,Research
2021,October,41,USA,North America,256,Other,PhD,Science,Entrepreneurship
2021,June,24,India,Oceania,188,Other,PhD,Medicine,Employment
2021,April,14,India,Oceania,481,Female,PhD,Engineering,Employment
2022,July,27,UK,Europe,209,Male,Postgraduate,Business,Research
2023,January,03,Australia,Asia,148,Male,Undergraduate,Science,Research
2021,February,06,USA,North America,293,Female,PhD,Medicine,Research
2022,August,32,UK,North America,117,Other,Postgraduate,Arts,Research
2021,November,46,USA,Europe,254,Other,Undergraduate,Business,Entrepreneurship
2022,November,45,USA,Europe,419,Female,PhD,Medicine,Research
2022,December,52,UK,North America,209,Other,Undergraduate,Business,Research
2023,March,12,Canada,North America,416,Male,Postgraduate,Arts,Research
2023,October,44,UK,Oceania,397,Male,Undergraduate,Arts,Employment
2022,November,45,UK,Asia,390,Male,PhD,Medicine,Entrepreneurship
2023,June,25,USA,North America,486,Other,PhD,Engineering,Research
2022,December,50,India,North America,284,Other,Postgraduate,Medicine,Entrepreneurship
2022,April,14,UK,Europe,404,Male,Postgraduate,Engineering,Entrepreneurship
2022,December,50,India,Europe,313,Other,Undergraduate,Business,Entrepreneurship
2022,December,52,USA,Asia,174,Other,Undergraduate,Engineering,Research
2022,February,07,Australia,Asia,442,Female,Undergraduate,Business,Research
2022,September,36,USA,Oceania,398,Other,Postgraduate,Business,Entrepreneurship
2022,July,30,Australia,Asia,174,Male,Undergraduate,Science,Employment
2021,April,16,Canada,Asia,225,Female,PhD,Arts,Entrepreneurship
2021,October,41,India,North America,305,Female,Undergraduate,Arts,Employment
2022,April,17,UK,Asia,311,Female,Postgraduate,Engineering,Research
2021,September,37,USA,Asia,463,Female,Undergraduate,Medicine,Entrepreneurship
2022,April,17,Canada,Oceania,325,Female,Postgraduate,Science,Research
2023,June,25,Australia,Europe,153,Male,PhD,Arts,Entrepreneurship
2021,November,48,UK,Oceania,283,Male,Undergraduate,Business,Entrepreneurship
2021,May,21,UK,Asia,50,Male,Postgraduate,Medicine,Entrepreneurship
2022,August,32,India,Asia,207,Female,PhD,Engineering,Entrepreneurship
2023,April,17,India,Asia,299,Other,Postgraduate,Medicine,Research
2021,March,09,USA,Oceania,478,Other,Undergraduate,Business,Entrepreneurship
2023,July,27,UK,Europe,111,Other,Undergraduate,Medicine,Research
2023,May,22,USA,North America,60,Other,Postgraduate,Medicine,Entrepreneurship
2022,November,48,UK,Asia,251,Male,PhD,Science,Research
2023,May,20,India,Oceania,250,Male,Undergraduate,Arts,Entrepreneurship
2023,November,44,India,Asia,464,Female,Postgraduate,Medicine,Employment
2022,February,05,Canada,Asia,368,Male,PhD,Business,Entrepreneurship
2021,June,24,Australia,Asia,495,Other,Undergraduate,Science,Research
2023,August,33,Australia,Asia,111,Female,PhD,Science,Employment
2022,September,36,India,North America,417,Female,Undergraduate,Business,Research
2021,October,42,Canada,Europe,135,Male,Postgraduate,Business,Research
2021,April,17,UK,North America,454,Male,Undergraduate,Engineering,Employment
2022,November,47,India,Europe,159,Other,PhD,Arts,Entrepreneurship
2023,September,37,UK,Asia,194,Female,PhD,Engineering,Entrepreneurship
2023,July,28,Australia,Oceania,406,Female,Undergraduate,Arts,Entrepreneurship
2023,June,23,Canada,Europe,371,Male,Postgraduate,Business,Entrepreneurship
2022,December,52,India,Oceania,339,Female,Postgraduate,Engineering,Entrepreneurship
2021,June,26,Canada,Asia,375,Male,PhD,Medicine,Research
2023,May,22,India,Asia,193,Other,Postgraduate,Medicine,Entrepreneurship
2023,April,14,India,Europe,217,Male,PhD,Arts,Entrepreneurship
2023,February,07,USA,Europe,210,Male,Postgraduate,Science,Employment
2023,August,34,Canada,Asia,224,Other,Postgraduate,Arts,Employment
2022,March,09,Canada,Oceania,65,Male,Postgraduate,Engineering,Employment
2023,September,35,India,Europe,182,Other,PhD,Business,Employment
2022,September,37,Canada,Asia,91,Male,Postgraduate,Science,Entrepreneurship
2023,March,10,UK,Oceania,379,Female,Postgraduate,Business,Employment
2022,February,06,India,Europe,376,Other,Postgraduate,Business,Employment
2022,July,28,Australia,Oceania,203,Other,Postgraduate,Engineering,Research
2021,October,40,Canada,Oceania,128,Female,Postgraduate,Medicine,Employment
2022,March,13,UK,Europe,424,Female,Undergraduate,Arts,Research
2023,October,44,Australia,Europe,437,Male,Undergraduate,Science,Employment
2021,April,16,Canada,Asia,71,Other,PhD,Business,Research
2023,January,03,India,Europe,168,Female,Postgraduate,Engineering,Entrepreneurship
2021,July,28,USA,Oceania,402,Other,Undergraduate,Science,Entrepreneurship
2021,November,48,India,Europe,499,Male,PhD,Arts,Research
2021,July,28,Canada,North America,384,Other,Postgraduate,Science,Research
2021,May,22,USA,North America,232,Other,Postgraduate,Medicine,Entrepreneurship
2021,January,01,USA,Asia,415,Male,Postgraduate,Arts,Employment
2021,October,42,UK,Oceania,52,Female,Undergraduate,Medicine,Research
2022,December,49,USA,Asia,187,Other,PhD,Engineering,Entrepreneurship
2023,October,44,India,Europe,243,Male,Postgraduate,Business,Entrepreneurship
2022,August,33,UK,Asia,70,Other,Undergraduate,Business,Employment
2023,July,31,Australia,Asia,252,Other,Postgraduate,Engineering,Employment
2022,December,52,Canada,Oceania,487,Other,Postgraduate,Science,Research
2021,February,08,India,Asia,260,Other,Postgraduate,Arts,Employment
2022,August,33,USA,Europe,473,Other,PhD,Engineering,Entrepreneurship
2022,February,08,UK,North America,262,Other,Undergraduate,Science,Entrepreneurship
2021,November,47,UK,Europe,82,Female,Undergraduate,Arts,Entrepreneurship
2021,May,21,Canada,North America,364,Male,Postgraduate,Arts,Entrepreneurship
2023,November,47,UK,North America,328,Other,PhD,Engineering,Research
2023,June,25,USA,North America,359,Female,PhD,Business,Employment
2023,December,48,Canada,Oceania,169,Female,Postgraduate,Engineering,Employment
2022,November,47,Canada,North America,79,Male,Postgraduate,Science,Research
